,OrderId,OrderItemId,QuantityOrdered,ItemPrice,PromotionDiscount,batch_id,total_sales,pd,net_sale
0,171-0001135-1657958,11168900000000.0,1,949.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",359,949.0,10.0,939.0
1,171-0001497-9165123,19760300000000.0,1,699.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1135,699.0,10.0,689.0
2,171-0002127-1363507,5949760000000.0,1,399.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",297,399.0,10.0,389.0
3,171-0002370-0601169,57571900000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",114,499.0,10.0,489.0
4,171-0004526-2028348,33851300000000.0,1,1699.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",764,1699.0,10.0,1689.0
5,171-0004781-3853173,43686100000000.0,1,399.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",809,399.0,10.0,389.0
6,171-0004947-4305927,15941400000000.0,1,1399.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",15,1399.0,10.0,1389.0
8,171-0005467-8036365,33952400000000.0,1,349.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",868,349.0,10.0,339.0
9,171-0006030-2254725,31456200000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1494,499.0,10.0,489.0
10,171-0006682-9937168,2915890000000.0,1,549.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",255,549.0,10.0,539.0
11,171-0008037-3788355,22456900000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",232,499.0,10.0,489.0
12,171-0008659-1412343,45841700000000.0,1,2899.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",184,2899.0,10.0,2889.0
13,171-0008662-0057942,66326700000000.0,1,599.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",122,599.0,10.0,589.0
14,171-0010322-1769977,47459200000000.0,1,399.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",676,399.0,10.0,389.0
15,171-0010803-5365973,21135200000000.0,1,299.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",669,299.0,10.0,289.0
16,171-0011025-3910737,18207700000000.0,1,1499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",821,1499.0,10.0,1489.0
17,171-0015661-5525128,52322600000000.0,1,1199.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",31,1199.0,10.0,1189.0
18,171-0015668-5065935,8918070000000.0,1,699.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",709,699.0,10.0,689.0
19,171-0016430-9547521,3526650000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",325,499.0,10.0,489.0
20,171-0016468-7483547,41088100000000.0,1,369.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",529,369.0,10.0,359.0
21,171-0016656-1255573,21577400000000.0,1,499.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",695,499.0,10.0,489.0
22,171-0017311-5318712,64258500000000.0,1,699.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",577,699.0,10.0,689.0
23,171-0018170-2421930,31602100000000.0,1,799.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",800,799.0,10.0,789.0
24,171-0018345-8874731,59365900000000.0,1,599.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",150,599.0,10.0,589.0
25,171-0018448-9529112,24636800000000.0,1,299.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1576,299.0,10.0,289.0
26,171-0020330-4809129,47116400000000.0,1,849.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",975,849.0,10.0,839.0
27,171-0020871-3057976,31639300000000.0,1,1139.0,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",296,1139.0,10.0,1129.0
